exposure_id,application_id,tenant_id,existing_exposure,approved_limit_current,past_due_amount,source_update_time
EXP-001,SME-L001,TENANT-ALPHA,584194.1,1620639.54,0,2026-09-15T09:41:00+05:30
EXP-002,SME-L002,TENANT-ALPHA,4193160.52,7533698.89,0,2026-09-15T09:52:00+05:30
EXP-003,SME-L003,TENANT-ALPHA,500131.0,784928.0,0,2026-09-15T09:46:00+05:30
EXP-004,SME-L004,TENANT-ALPHA,792412.41,1912386.64,0,2026-09-15T09:49:00+05:30
EXP-005,SME-L005,TENANT-ALPHA,1297545.45,2419559.88,0,2026-09-15T09:40:00+05:30
EXP-006,SME-L006,TENANT-ALPHA,3389954.71,4804413.35,0,2026-09-15T09:54:00+05:30
EXP-007,SME-L007,TENANT-ALPHA,229791.07,4213783.35,0,2026-09-15T09:47:00+05:30
EXP-008,SME-L008,TENANT-BETA,901601.88,1337113.0,0,2026-09-15T09:45:00+05:30
EXP-009,SME-L009,TENANT-ALPHA,363336.2,1751874.28,0,2026-09-15T09:42:00+05:30
EXP-010,SME-L010,TENANT-ALPHA,2413560.19,5199563.34,0,2026-09-15T09:43:00+05:30
EXP-011,SME-L011,TENANT-ALPHA,724188.87,1035599.56,0,2026-09-15T09:52:00+05:30
EXP-012,SME-L012,TENANT-ALPHA,2858725.25,7062687.13,0,2026-09-15T09:49:00+05:30
EXP-013,SME-L013,TENANT-ALPHA,1672744.26,3085688.38,185000,2026-09-15T09:56:00+05:30
EXP-014,SME-L014,TENANT-ALPHA,808827.03,2263548.43,0,2026-09-15T09:47:00+05:30
EXP-015,SME-L015,TENANT-ALPHA,2617123.04,4412738.9,0,2026-09-15T09:43:00+05:30
