application_id,tenant_id,decision,days_since_decision,payment_status,observed_loss,outcome_note
HIST-0001,TENANT-ALPHA,CONDITIONAL,31,NOT_BOOKED,0,Operational outcome only; does not prove decision correctness.
HIST-0002,TENANT-ALPHA,APPROVE,32,NOT_BOOKED,0,Operational outcome only; does not prove decision correctness.
HIST-0003,TENANT-ALPHA,REFER,33,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0004,TENANT-ALPHA,REFER,34,NOT_BOOKED,25000,Operational outcome only; does not prove decision correctness.
HIST-0005,TENANT-BETA,CONDITIONAL,35,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0006,TENANT-ALPHA,CONDITIONAL,36,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0007,TENANT-ALPHA,APPROVE,37,PAST_DUE_1_30,0,Operational outcome only; does not prove decision correctness.
HIST-0008,TENANT-ALPHA,DECLINE,38,PAST_DUE_1_30,0,Operational outcome only; does not prove decision correctness.
HIST-0009,TENANT-ALPHA,APPROVE,39,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0010,TENANT-BETA,DECLINE,40,NOT_BOOKED,0,Operational outcome only; does not prove decision correctness.
HIST-0011,TENANT-ALPHA,REFER,41,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0012,TENANT-ALPHA,APPROVE,42,NOT_BOOKED,0,Operational outcome only; does not prove decision correctness.
HIST-0013,TENANT-ALPHA,APPROVE,43,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0014,TENANT-ALPHA,REFER,44,PAST_DUE_1_30,0,Operational outcome only; does not prove decision correctness.
HIST-0015,TENANT-BETA,CONDITIONAL,45,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0016,TENANT-ALPHA,REFER,46,NOT_BOOKED,25000,Operational outcome only; does not prove decision correctness.
HIST-0017,TENANT-ALPHA,DECLINE,47,PAST_DUE_1_30,25000,Operational outcome only; does not prove decision correctness.
HIST-0018,TENANT-ALPHA,DECLINE,48,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0019,TENANT-ALPHA,CONDITIONAL,49,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0020,TENANT-BETA,REFER,50,CURRENT,25000,Operational outcome only; does not prove decision correctness.
HIST-0021,TENANT-ALPHA,CONDITIONAL,51,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0022,TENANT-ALPHA,APPROVE,52,CURRENT,25000,Operational outcome only; does not prove decision correctness.
HIST-0023,TENANT-ALPHA,CONDITIONAL,53,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0024,TENANT-ALPHA,APPROVE,54,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0025,TENANT-BETA,APPROVE,55,PAST_DUE_1_30,0,Operational outcome only; does not prove decision correctness.
HIST-0026,TENANT-ALPHA,CONDITIONAL,56,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0027,TENANT-ALPHA,CONDITIONAL,57,NOT_BOOKED,0,Operational outcome only; does not prove decision correctness.
HIST-0028,TENANT-ALPHA,DECLINE,58,NOT_BOOKED,0,Operational outcome only; does not prove decision correctness.
HIST-0029,TENANT-ALPHA,REFER,59,CURRENT,0,Operational outcome only; does not prove decision correctness.
HIST-0030,TENANT-BETA,CONDITIONAL,60,PAST_DUE_1_30,25000,Operational outcome only; does not prove decision correctness.
