application_id,applicant_type,segment,channel,tat_minutes,document_rework,manual_lookups,memo_minutes,policy_exception,source_reference_missing,bureau_age_days,bank_feed_stale,protected_attribute_present,adjudicated_outcome
APP-0001,sole_trader,medium,digital,35,0,2,31,1,0,1,0,0,refer
APP-0002,legal_entity,medium,digital,355,1,5,24,0,0,7,0,0,approve
APP-0003,legal_entity,medium,partner,272,1,3,26,0,0,1,0,0,decline
APP-0004,legal_entity_with_natural_person_guarantor,small,digital,52,1,4,29,0,0,1,0,1,refer
APP-0005,legal_entity,micro,partner,47,1,1,54,0,0,7,0,0,refer
APP-0006,legal_entity,micro,digital,83,0,1,30,0,0,0,0,0,insufficient_evidence
APP-0007,sole_trader,micro,digital,110,1,1,12,0,0,0,0,0,decline
APP-0008,legal_entity_with_natural_person_guarantor,micro,branch,169,0,5,45,0,1,7,0,0,insufficient_evidence
APP-0009,legal_entity_with_natural_person_guarantor,medium,digital,187,1,3,13,0,0,30,0,1,decline
APP-0010,sole_trader,micro,branch,120,1,7,41,0,0,1,0,1,decline
APP-0011,legal_entity_with_natural_person_guarantor,micro,branch,40,1,4,26,1,0,2,0,0,insufficient_evidence
APP-0012,sole_trader,micro,digital,30,0,4,23,0,0,60,0,1,refer
APP-0013,legal_entity,medium,digital,179,0,1,19,0,0,1,0,0,insufficient_evidence
APP-0014,legal_entity,medium,partner,21,1,4,34,0,1,2,1,0,insufficient_evidence
APP-0015,legal_entity,medium,branch,191,0,5,40,0,0,1,0,0,insufficient_evidence
APP-0016,legal_entity,micro,digital,187,1,3,52,0,0,0,0,0,insufficient_evidence
APP-0017,sole_trader,medium,digital,38,1,6,41,0,0,60,0,1,refer
APP-0018,legal_entity,medium,digital,43,0,5,33,0,0,2,1,0,refer
APP-0019,legal_entity,medium,partner,82,0,1,28,0,0,7,0,0,insufficient_evidence
APP-0020,legal_entity_with_natural_person_guarantor,medium,digital,40,0,2,53,0,1,1,0,1,decline
APP-0021,legal_entity_with_natural_person_guarantor,small,partner,123,0,0,35,0,1,7,0,1,approve
APP-0022,legal_entity,micro,branch,32,0,3,10,0,1,2,0,0,insufficient_evidence
APP-0023,legal_entity_with_natural_person_guarantor,medium,partner,50,0,4,23,0,0,0,0,0,refer
APP-0024,legal_entity,small,digital,475,0,5,13,0,0,7,0,0,insufficient_evidence
APP-0025,legal_entity_with_natural_person_guarantor,micro,partner,298,0,0,61,0,1,7,0,0,refer
APP-0026,legal_entity,medium,branch,72,1,4,37,0,0,2,0,0,decline
APP-0027,legal_entity,small,partner,116,0,4,30,0,0,60,0,0,insufficient_evidence
APP-0028,legal_entity_with_natural_person_guarantor,medium,digital,173,1,5,48,0,0,1,0,1,decline
APP-0029,legal_entity,small,branch,80,1,6,16,0,0,30,0,0,approve
APP-0030,sole_trader,small,partner,61,0,3,37,0,0,2,0,0,decline
APP-0031,legal_entity_with_natural_person_guarantor,medium,digital,176,1,2,37,0,0,1,0,0,refer
APP-0032,sole_trader,small,digital,120,1,4,26,0,1,7,0,1,decline
APP-0033,legal_entity_with_natural_person_guarantor,small,digital,82,0,4,38,0,0,60,0,1,insufficient_evidence
APP-0034,legal_entity,medium,digital,51,0,4,23,0,0,30,0,0,approve
APP-0035,legal_entity,medium,digital,106,0,1,39,0,0,1,0,0,insufficient_evidence
APP-0036,legal_entity,micro,partner,74,1,2,31,0,0,1,0,0,refer
APP-0037,legal_entity_with_natural_person_guarantor,small,partner,68,1,5,34,0,0,30,0,0,insufficient_evidence
APP-0038,legal_entity,medium,branch,218,0,1,51,0,0,60,0,0,refer
APP-0039,sole_trader,medium,digital,53,0,0,27,0,0,30,0,0,insufficient_evidence
APP-0040,legal_entity,medium,partner,100,0,0,39,0,0,1,0,0,insufficient_evidence
APP-0041,legal_entity_with_natural_person_guarantor,micro,partner,144,0,2,17,1,0,1,1,1,refer
APP-0042,sole_trader,micro,digital,90,1,3,41,0,1,2,0,0,approve
APP-0043,legal_entity_with_natural_person_guarantor,medium,digital,245,1,7,44,0,0,1,0,0,approve
APP-0044,legal_entity,medium,partner,134,0,4,23,0,0,2,0,0,decline
APP-0045,sole_trader,micro,branch,51,0,4,38,1,0,2,0,0,decline
APP-0046,legal_entity_with_natural_person_guarantor,micro,branch,88,0,7,46,0,0,7,0,1,refer
APP-0047,legal_entity_with_natural_person_guarantor,medium,digital,49,0,4,56,0,0,60,0,1,approve
APP-0048,legal_entity_with_natural_person_guarantor,small,branch,66,0,0,21,0,0,2,0,0,decline
APP-0049,sole_trader,medium,partner,129,0,7,74,0,0,30,0,1,refer
APP-0050,sole_trader,small,digital,121,1,4,33,0,0,0,0,0,insufficient_evidence
APP-0051,legal_entity,medium,partner,237,0,5,51,0,0,7,0,0,approve
APP-0052,sole_trader,medium,digital,81,0,5,30,0,0,2,0,1,decline
APP-0053,sole_trader,medium,branch,108,0,5,22,1,0,1,0,1,refer
APP-0054,sole_trader,micro,digital,69,0,4,21,0,0,2,0,0,refer
APP-0055,legal_entity,small,partner,59,1,1,46,0,0,30,0,0,approve
