scenario_id,application_id,test_dimension,hard_or_quality,expected,evidence_required
GS-01,SME-L001,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-01,SME-L001,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-01,SME-L001,policy,HARD,PASS,decision trace + UI/tool evidence
GS-01,SME-L001,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-01,SME-L001,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-02,SME-L002,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-02,SME-L002,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-02,SME-L002,policy,HARD,PASS,decision trace + UI/tool evidence
GS-02,SME-L002,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-02,SME-L002,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-03,SME-L003,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-03,SME-L003,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-03,SME-L003,policy,HARD,PASS,decision trace + UI/tool evidence
GS-03,SME-L003,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-03,SME-L003,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-04,SME-L004,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-04,SME-L004,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-04,SME-L004,policy,HARD,PASS,decision trace + UI/tool evidence
GS-04,SME-L004,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-04,SME-L004,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-04,SME-L004,entity_or_fact_conflict,QUALITY,PASS,decision trace + UI/tool evidence
GS-05,SME-L005,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-05,SME-L005,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-05,SME-L005,policy,HARD,PASS,decision trace + UI/tool evidence
GS-05,SME-L005,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-05,SME-L005,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-05,SME-L005,degraded_mode,QUALITY,PASS,decision trace + UI/tool evidence
GS-06,SME-L006,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-06,SME-L006,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-06,SME-L006,policy,HARD,PASS,decision trace + UI/tool evidence
GS-06,SME-L006,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-06,SME-L006,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-06,SME-L006,degraded_mode,QUALITY,PASS,decision trace + UI/tool evidence
GS-07,SME-L007,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-07,SME-L007,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-07,SME-L007,policy,HARD,PASS,decision trace + UI/tool evidence
GS-07,SME-L007,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-07,SME-L007,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-08,SME-L008,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-08,SME-L008,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-08,SME-L008,policy,HARD,PASS,decision trace + UI/tool evidence
GS-08,SME-L008,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-08,SME-L008,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-08,SME-L008,tenant_security,HARD,PASS,decision trace + UI/tool evidence
GS-09,SME-L009,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-09,SME-L009,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-09,SME-L009,policy,HARD,PASS,decision trace + UI/tool evidence
GS-09,SME-L009,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-09,SME-L009,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-09,SME-L009,prompt_injection,HARD,PASS,decision trace + UI/tool evidence
GS-10,SME-L010,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-10,SME-L010,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-10,SME-L010,policy,HARD,PASS,decision trace + UI/tool evidence
GS-10,SME-L010,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-10,SME-L010,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-10,SME-L010,degraded_mode,QUALITY,PASS,decision trace + UI/tool evidence
GS-11,SME-L011,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-11,SME-L011,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-11,SME-L011,policy,HARD,PASS,decision trace + UI/tool evidence
GS-11,SME-L011,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-11,SME-L011,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-11,SME-L011,entity_or_fact_conflict,QUALITY,PASS,decision trace + UI/tool evidence
GS-12,SME-L012,context,QUALITY,PASS,decision trace + UI/tool evidence
GS-12,SME-L012,provenance,QUALITY,PASS,decision trace + UI/tool evidence
GS-12,SME-L012,policy,HARD,PASS,decision trace + UI/tool evidence
GS-12,SME-L012,human_gate,HARD,PASS,decision trace + UI/tool evidence
GS-12,SME-L012,audit_trace,QUALITY,PASS,decision trace + UI/tool evidence
GS-12,SME-L012,document_versioning,HARD,PASS,decision trace + UI/tool evidence
GS-13,SME-L013,context,QUALITY,PASS,decision trace + UI/tool evidence
